code,name,chapter,description,inclusions,source_datasets
I2110,Acute myocardial infarction,Diseases of the circulatory system,"A total artery blockage causing a heart attack on the bottom (inferior/diaphragmatic) wall of the heart.The bottom of the heart sits right above the diaphragm. While still dangerous, an inferior STEMI typically affects a smaller portion of the primary pumping muscle than an anterior wall attack. However, it frequently disrupts the heart's natural electrical pacemaker node, which sits near this area.",myocardial infarction specified as acute or with a stated duration of 4 weeks (28 days) or less from onset,Tayside and Fife
I2111,Acute myocardial infarction,Diseases of the circulatory system,A specific code identifying that the inferior heart attack was caused by a total blockage in the Right Coronary Artery (RCA). This artery supplies blood to the right side of the heart and the electrical system.,myocardial infarction specified as acute or with a stated duration of 4 weeks (28 days) or less from onset,Tayside and Fife
I212,Acute transmural myocardial infarction of other sites,Diseases of the circulatory system,"A total artery blockage causing a heart attack in other specific regions of the heart muscle, such as the lateral (side) wall or posterior (back) wall. [1]",Transmural infarction (acute)(of): apical-lateral | Transmural infarction (acute)(of): basal-lateral | Transmural infarction (acute)(of): high lateral | Transmural infarction (acute)(of): lateral (wall) NOS | Transmural infarction (acute)(of): posterior (true) | Transmural infarction (acute)(of): posterobasal | Transmural infarction (acute)(of): posterolateral | Transmural infarction (acute)(of): posteroseptal | Transmural infarction (acute)(of): septal NOS,Tayside and Fife
I213,Acute transmural myocardial infarction of unspecified site,Diseases of the circulatory system,"The medical documentation confirms a complete blockage heart attack (STEMI) happened, but the specific wall or artery location was not recorded by the physician",Transmural myocardial infarction NOS,Tayside and Fife
I214,Acute subendocardial myocardial infarction,Diseases of the circulatory system,"A Non-ST Elevation Myocardial Infarction (NSTEMI).Unlike a STEMI where an artery is 100% blocked, an NSTEMI usually involves a partially blocked or severely narrowed artery. Blood can still trickle through, but it is not enough. The damage is restricted to the innermost layer of the heart muscle tissue (the subendocardium) rather than tearing through the entire thickness of the heart wall.",Myocardial infarction with non-ST elevation | Nontransmural myocardial infarction NOS,Tayside and Fife
I219,"Acute myocardial infarction, unspecified",Diseases of the circulatory system," A general billing code used when a patient definitively had a sudden heart attack, but the medical record lacks the details to state whether it was a STEMI or an NSTEMI",Myocardial infarction (acute) NOS,Tayside and Fife
I2190,Acute myocardial infarction,Diseases of the circulatory system,"A general billing code used when a patient definitively had a sudden heart attack, but the medical record lacks the details to state whether it was a STEMI or an NSTEMI",myocardial infarction specified as acute or with a stated duration of 4 weeks (28 days) or less from onset,Tayside and Fife
I2191,"Hypertensive chronic kidney disease without renal failure, with hypertensive urgency",Diseases of the circulatory system,"The code means a patient has long-term, high blood pressure that has already caused permanent damage or scarring to the kidneys. Additionally, during this specific clinical visit, the patient's blood pressure has dramatically spiked to dangerously high levels (typically 180/120 mmHg or higher).",myocardial infarction specified as acute or with a stated duration of 4 weeks (28 days) or less from onset,Tayside and Fife
I2199,Acute myocardial infarction,Diseases of the circulatory system,"A general billing code used when a patient definitively had a sudden heart attack, but the medical record lacks the details to state whether it was a STEMI or an NSTEMI",myocardial infarction specified as acute or with a stated duration of 4 weeks (28 days) or less from onset,Tayside and Fife
I22,Subsequent myocardial infarction,Diseases of the circulatory system,"The patient is already recovering from an initial heart attack, but within 28 days, a new blockage forms and causes a second heart attack on the front wall of the heart. ",myocardial infarction: extension | myocardial infarction: recurrent | myocardial infarction: reinfarction,National Scotland
I220,Subsequent myocardial infarction of anterior wall,Diseases of the circulatory system,"The patient is already recovering from an initial heart attack, but within 28 days, a new blockage forms and causes a second heart attack on the front wall of the heart. ",Subsequent infarction (acute)(of): anterior (wall) NOS | Subsequent infarction (acute)(of): anteroapical | Subsequent infarction (acute)(of): anterolateral | Subsequent infarction (acute)(of): anteroseptal,Tayside and Fife
I229,Subsequent myocardial infarction of unspecified site,Diseases of the circulatory system," A repeat heart attack occurring within the 4-week window, but the specific location of the second blockage is unrecorded.",,Tayside and Fife
I24,Other acute ischaemic heart diseases,Diseases of the circulatory system,"Sudden, severe heart complications where blood flow is critically dropped, but it does not cleanly result in a textbook heart attack. This includes conditions like Dressler's syndrome (inflammation around the heart after an attack) or coronary microvascular spasms.",,National Scotland
I25,Chronic ischaemic heart disease,Diseases of the circulatory system," Long-term, slow-progressing Coronary Artery Disease (CAD).What happens to the body: Over decades, cholesterol plaques slowly build up and harden inside the heart's arteries (atherosclerosis). The heart adapts to a permanent state of reduced blood flow, causing chronic shortness of breath during activities or stable angina (predictable chest pain).",,National Scotland
